Source,Target,Type
app,live_email,Directed
app,app_resetrequest,Directed
app,app_liveresetrequest,Directed
app,app_root,Directed
app,app_web,Directed
app,app_health,Directed
app,app_tasks,Directed
app,app_reset,Directed
app,app_step,Directed
app,app_state,Directed
app,app_dashboard,Directed
app,app_live_reset,Directed
app,app_live_step,Directed
app,app_live_state,Directed
app,app_live_dashboard,Directed
app,app,Directed
app,app_main,Directed
app_resetrequest,basemodel,Directed
app_resetrequest,live_email_liveemailsession,Directed
basemodel,app_liveresetrequest,Directed
app_liveresetrequest,live_email_liveemailsession,Directed
app_root,app_rationale_40,Directed
app_web,app_rationale_56,Directed
app_reset,app_live_reset,Directed
app_step,app_live_step,Directed
app_state,app_dashboard,Directed
app_state,app_live_state,Directed
app_dashboard,app_live_dashboard,Directed
app_rationale_40,live_email_liveemailsession,Directed
app_rationale_56,live_email_liveemailsession,Directed
send_live_reply,live_email,Directed
send_live_reply,send_live_reply_load_env,Directed
send_live_reply,send_live_reply_main,Directed
send_live_reply_load_env,send_live_reply_main,Directed
live_agent_loop,live_email,Directed
live_agent_loop,live_agent_loop_load_env,Directed
live_agent_loop,live_agent_loop_priority_rank,Directed
live_agent_loop,live_agent_loop_value_rank,Directed
live_agent_loop,live_agent_loop_select_next_email,Directed
live_agent_loop,live_agent_loop_build_action,Directed
live_agent_loop,live_agent_loop_run_loop,Directed
live_agent_loop,live_agent_loop_main,Directed
live_agent_loop_load_env,live_agent_loop_run_loop,Directed
live_agent_loop_priority_rank,live_agent_loop_select_next_email,Directed
live_agent_loop_priority_rank,live_agent_loop_run_loop,Directed
live_agent_loop_value_rank,live_agent_loop_select_next_email,Directed
live_agent_loop_value_rank,live_agent_loop_run_loop,Directed
live_agent_loop_select_next_email,live_agent_loop_run_loop,Directed
live_agent_loop_build_action,live_agent_loop_run_loop,Directed
live_agent_loop_run_loop,live_agent_loop_main,Directed
benchmark_report,benchmark_report_runstats,Directed
benchmark_report,benchmark_report_priority_rank,Directed
benchmark_report,benchmark_report_value_rank,Directed
benchmark_report,benchmark_report_select_next_email,Directed
benchmark_report,benchmark_report_run_simulated_once,Directed
benchmark_report,benchmark_report_run_live_once,Directed
benchmark_report,benchmark_report_summarize,Directed
benchmark_report,benchmark_report_main,Directed
benchmark_report_runstats,benchmark_report_run_simulated_once,Directed
benchmark_report_runstats,benchmark_report_run_live_once,Directed
benchmark_report_priority_rank,benchmark_report_select_next_email,Directed
benchmark_report_value_rank,benchmark_report_select_next_email,Directed
benchmark_report_select_next_email,benchmark_report_run_simulated_once,Directed
benchmark_report_select_next_email,benchmark_report_run_live_once,Directed
benchmark_report_run_simulated_once,benchmark_report_main,Directed
benchmark_report_run_live_once,benchmark_report_main,Directed
benchmark_report_summarize,benchmark_report_main,Directed
models,client,Directed
client,client_emailtriageclient,Directed
client_emailtriageclient,client_emailtriageclient_init,Directed
client_emailtriageclient,client_emailtriageclient_close,Directed
client_emailtriageclient,client_emailtriageclient_health,Directed
client_emailtriageclient,client_emailtriageclient_reset,Directed
client_emailtriageclient,client_emailtriageclient_step,Directed
client_emailtriageclient,client_emailtriageclient_state,Directed
agent_adapter,agent_adapter_priority_rank,Directed
agent_adapter,agent_adapter_extract_json_object,Directed
agent_adapter,agent_adapter_openenvagentadapter,Directed
agent_adapter_priority_rank,agent_adapter_openenvagentadapter_plan_sequence,Directed
agent_adapter_extract_json_object,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_init,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_reset,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_step,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_select_email,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_plan_sequence,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_heuristic_decision,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_run_episode,Directed
agent_adapter_openenvagentadapter,agent_adapter_openenvagentadapter_run_benchmark,Directed
agent_adapter_openenvagentadapter_reset,agent_adapter_openenvagentadapter_run_episode,Directed
agent_adapter_openenvagentadapter_step,agent_adapter_openenvagentadapter_run_episode,Directed
agent_adapter_openenvagentadapter_select_email,agent_adapter_openenvagentadapter_plan_sequence,Directed
agent_adapter_openenvagentadapter_select_email,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter_heuristic_decision,agent_adapter_openenvagentadapter_decide_with_llm,Directed
agent_adapter_openenvagentadapter_decide_with_llm,agent_adapter_openenvagentadapter_run_episode,Directed
agent_adapter_openenvagentadapter_run_episode,agent_adapter_openenvagentadapter_run_benchmark,Directed
inference,inference_log_start,Directed
inference,inference_log_step,Directed
inference,inference_log_end,Directed
inference,inference_priority_rank,Directed
inference,inference_type_rank,Directed
inference,inference_select_next_email,Directed
inference,inference_refine_reply_with_llm,Directed
inference,inference_build_client,Directed
inference,inference_apply_safety_guard,Directed
inference,inference_run_simulated_mode,Directed
inference,inference_run_live_mode,Directed
inference,inference_run_baseline,Directed
inference_log_start,inference_run_simulated_mode,Directed
inference_log_start,inference_run_live_mode,Directed
inference_log_step,inference_run_simulated_mode,Directed
inference_log_step,inference_run_live_mode,Directed
inference_log_end,inference_run_simulated_mode,Directed
inference_log_end,inference_run_live_mode,Directed
inference_priority_rank,inference_select_next_email,Directed
inference_type_rank,inference_select_next_email,Directed
inference_select_next_email,inference_run_simulated_mode,Directed
inference_select_next_email,inference_run_live_mode,Directed
inference_refine_reply_with_llm,inference_run_simulated_mode,Directed
inference_refine_reply_with_llm,inference_run_live_mode,Directed
inference_build_client,inference_run_baseline,Directed
inference_apply_safety_guard,inference_run_simulated_mode,Directed
inference_apply_safety_guard,inference_run_live_mode,Directed
inference_run_simulated_mode,inference_run_baseline,Directed
inference_run_live_mode,inference_run_baseline,Directed
live_email,live_email_decode_header_value,Directed
live_email,live_email_extract_text_body,Directed
live_email,live_email_infer_priority,Directed
live_email,live_email_infer_type,Directed
live_email,live_email_build_email_record,Directed
live_email,live_email_provideremail,Directed
live_email,live_email_liveemailprovider,Directed
live_email,live_email_imapprovider,Directed
live_email,live_email_gmailprovider,Directed
live_email,live_email_graphprovider,Directed
live_email,live_email_create_escalation_ticket,Directed
live_email,live_email_build_provider,Directed
live_email,live_email_liveemailsession,Directed
live_email_decode_header_value,live_email_imapprovider_fetch_inbox,Directed
live_email_extract_text_body,live_email_imapprovider_fetch_inbox,Directed
live_email_infer_priority,live_email_build_email_record,Directed
live_email_infer_type,live_email_build_email_record,Directed
live_email_build_email_record,live_email_imapprovider_fetch_inbox,Directed
live_email_build_email_record,live_email_gmailprovider_fetch_inbox,Directed
live_email_build_email_record,live_email_graphprovider_fetch_inbox,Directed
live_email_provideremail,live_email_imapprovider_fetch_inbox,Directed
live_email_provideremail,live_email_gmailprovider_fetch_inbox,Directed
live_email_provideremail,live_email_graphprovider_fetch_inbox,Directed
live_email_liveemailprovider,live_email_liveemailprovider_fetch_inbox,Directed
live_email_liveemailprovider,live_email_liveemailprovider_apply_action,Directed
live_email_liveemailprovider,live_email_imapprovider,Directed
live_email_liveemailprovider,live_email_gmailprovider,Directed
live_email_liveemailprovider,live_email_graphprovider,Directed
live_email_imapprovider,live_email_imapprovider_init,Directed
live_email_imapprovider,live_email_imapprovider_is_gmail_imap,Directed
live_email_imapprovider,live_email_imapprovider_connect_imap,Directed
live_email_imapprovider,live_email_imapprovider_fetch_inbox,Directed
live_email_imapprovider,live_email_imapprovider_move_to_mailbox,Directed
live_email_imapprovider,live_email_imapprovider_send_reply,Directed
live_email_imapprovider,live_email_imapprovider_gmail_apply_label_action,Directed
live_email_imapprovider,live_email_imapprovider_apply_action,Directed
live_email_imapprovider,live_email_build_provider,Directed
live_email_imapprovider_is_gmail_imap,live_email_imapprovider_apply_action,Directed
live_email_imapprovider_connect_imap,live_email_imapprovider_fetch_inbox,Directed
live_email_imapprovider_connect_imap,live_email_imapprovider_move_to_mailbox,Directed
live_email_imapprovider_connect_imap,live_email_imapprovider_gmail_apply_label_action,Directed
live_email_imapprovider_move_to_mailbox,live_email_imapprovider_apply_action,Directed
live_email_imapprovider_send_reply,live_email_imapprovider_apply_action,Directed
live_email_imapprovider_gmail_apply_label_action,live_email_imapprovider_apply_action,Directed
live_email_imapprovider_apply_action,live_email_create_escalation_ticket,Directed
live_email_gmailprovider,live_email_gmailprovider_init,Directed
live_email_gmailprovider,live_email_gmailprovider_headers,Directed
live_email_gmailprovider,live_email_gmailprovider_fetch_inbox,Directed
live_email_gmailprovider,live_email_gmailprovider_apply_action,Directed
live_email_gmailprovider,live_email_build_provider,Directed
live_email_gmailprovider_fetch_inbox,live_email_graphprovider_headers,Directed
live_email_gmailprovider_apply_action,live_email_create_escalation_ticket,Directed
live_email_gmailprovider_apply_action,live_email_graphprovider_headers,Directed
live_email_graphprovider,live_email_graphprovider_init,Directed
live_email_graphprovider,live_email_graphprovider_headers,Directed
live_email_graphprovider,live_email_graphprovider_fetch_inbox,Directed
live_email_graphprovider,live_email_graphprovider_apply_action,Directed
live_email_graphprovider,live_email_build_provider,Directed
live_email_graphprovider_headers,live_email_graphprovider_fetch_inbox,Directed
live_email_graphprovider_headers,live_email_graphprovider_apply_action,Directed
live_email_graphprovider_fetch_inbox,live_email_liveemailsession_reset,Directed
live_email_graphprovider_apply_action,live_email_create_escalation_ticket,Directed
live_email_graphprovider_apply_action,live_email_liveemailsession_step,Directed
live_email_build_provider,live_email_liveemailsession_reset,Directed
live_email_liveemailsession,live_email_liveemailsession_init,Directed
live_email_liveemailsession,live_email_liveemailsession_reset,Directed
live_email_liveemailsession,live_email_liveemailsession_state,Directed
live_email_liveemailsession,live_email_liveemailsession_step,Directed
live_email_liveemailsession_reset,live_email_liveemailsession_state,Directed
live_email_liveemailsession_state,live_email_liveemailsession_step,Directed
script,script_checkhealth,Directed
script,script_testreset,Directed
script,script_safejson,Directed
script_checkhealth,script_safejson,Directed
script_testreset,script_safejson,Directed
